error,solution,category,notes
"System.QueryException: List has no rows for assignment to SObject","Use a list to receive query results and check if list is empty before accessing element","QueryException","Avoid single-SObject assignment when result may be empty"
"System.QueryException: List has more than 1 row for assignment to SObject","Use list (or LIMIT 1 + ensure only one result) or handle multiple results appropriately","QueryException","When query returns multiple records instead of single"
"System.ListException: List index out of bounds: 0","Check list.size() before accessing by index; avoid direct get(0) without check","ListException","Always verify list is non-empty before accessing"
"System.NullPointerException: Attempt to de-reference a null object","Ensure variable/object is not null before using, add null checks","NullPointerException","Initialize variables and perform null‑safe checks"
"System.DmlException: Insert failed. First exception on row 0; first error: REQUIRED_FIELD_MISSING","Populate all required fields (e.g. Name for Contacts/Accounts) before insert/update","DmlException","Ensure mandatory fields compliance"
"System.DmlException: Insert failed. First exception on row 0; first error: INVALID_FIELD_FOR_INSERT_UPDATE","Do not include Id or read-only fields when inserting; use update when updating","DmlException","Ensure correct fields used for DML"
"System.DmlException: Insert failed. First exception on row 0; first error: MIXED_DML_OPERATION","Separate setup and non‑setup object DMLs into different transactions (use @future or queueable)","DmlException/MixedDML","Avoid mixing setup and data objects in same transaction"
"System.SObjectException: SObject row was retrieved via SOQL without querying the requested field","Include the required field in the SOQL SELECT clause before accessing","SObjectException","Always SELECT needed fields before access"
"System.LimitException: Too many SOQL queries: 101","Bulkify code: move SOQL outside loops, use collections/maps","LimitException","Respect governor limits; avoid SOQL inside loops"
"System.LimitException: Too many DML statements: 151","Bulkify DML: collect records in list and perform one DML","LimitException","Respect DML limits in batch/trigger context"
"System.LimitException: Apex CPU time limit exceeded","Optimize logic, reduce loops, avoid heavy operations in single transaction","LimitException","For heavy tasks consider async processing (future/batch)"
"System.QueryException: Non-selective query against large object type","Add filters/index, avoid unfiltered queries on large tables","QueryException","Ensure SOQL is selective when objects are large"
"System.StringException: Invalid Id","Validate Id format before using; avoid passing null or invalid strings where Id expected","StringException","Validate ID strings before use"
"System.NullPointerException during LWC call","Use null-safe navigation or checks before accessing Apex-returned data in LWC","NullPointerException / LWC","Validate data before use in JS front‑end"
"SOQL assignment error after delete or missing record","Check existence of record before assignment; use safe query + null/size checks","QueryException","Avoid assuming existence of data"
"Permission/Access error (NoAccessException / insufficient privileges)","Ensure user profile or permission sets grant object/field access","PermissionError","Verify sharing, field-level security, and profile permissions"
"Invalid field error (invalid field for DML)","Use correct API field names; ensure schema alignment","DmlException / SchemaError","Check metadata/schema before operations"
"System.DmlException: Update failed. First exception on row 0; first error: FIELD_CUSTOM_VALIDATION_EXCEPTION","Check validation rules before update, handle exceptions appropriately","DmlException / ValidationError","Consider try/catch for updates"
"System.AsyncException: Future method cannot be called from a future or batch context","Avoid calling future methods from another async context","AsyncException","Chain async operations using Queueable jobs instead"
"System.LimitException: Too many callouts: 100","Reduce HTTP callouts per transaction or move some callouts to async context","LimitException","Use Continuations or Batch Apex for many callouts"
"System.CalloutException: You have uncommitted work pending. Please commit or rollback before calling out","Do DML operations after callouts or move callouts before DML","CalloutException","Avoid mixing DML and callouts in the same transaction"
"System.DmlException: Delete failed. First exception on row 0; first error: CANNOT_DELETE_ACTIVATED_PRODUCT2","Cannot delete activated product; deactivate first","DmlException / BusinessRule","Understand business object constraints"
"System.LimitException: Too many script statements: 2000000","Optimize code, reduce unnecessary loops and recursive calls","LimitException","Check for infinite recursion or large loops"
"System.LimitException: Too many future calls: 50","Reduce number of future calls per transaction","LimitException","Combine tasks into fewer future methods or queueable jobs"
"System.DmlException: Insert failed. First exception on row 0; first error: DUPLICATE_VALUE","Check for duplicate rules before inserting","DmlException / DuplicateError","Use upsert or check existence before insert"
"System.ListException: Remove failed. List index out of bounds","Check list indices before remove operation","ListException","Always verify list boundaries before modification"
"System.StringException: String too long","Truncate strings or validate length before DML","StringException","Salesforce has max field length limits"
"System.DmlException: Update failed. First exception on row 0; first error: FIELD_INTEGRITY_EXCEPTION","Ensure required parent or related record exists","DmlException / IntegrityError","Foreign key or relationship missing"
"System.QueryException: Invalid query locator","Check batch size and cursor usage when querying large datasets","QueryException","Use smaller batch sizes or iterate carefully"
"System.DmlException: Insert failed. First exception on row 0; first error: CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY","Check workflow rules or triggers that may block insert/update","DmlException / TriggerError","Review active triggers and validation rules"
"System.AsyncException: Batch Apex job limit exceeded","Reduce number of queued batch jobs","AsyncException","Submit batches sequentially, monitor limits"
"System.LimitException: Too many SOSL queries: 20","Reduce number of SOSL queries per transaction","LimitException","Consider combining searches or using more selective queries"
"System.QueryException: Malformed query: unexpected token","Check SOQL syntax carefully","QueryException / SyntaxError","Avoid typos and incorrect keywords"
"System.NullPointerException: sObject is null in trigger","Ensure sObject instance exists before use","NullPointerException / Trigger","Initialize variables and check trigger context"
"System.DmlException: Upsert failed. First exception on row 0; first error: REQUIRED_FIELD_MISSING","Populate mandatory fields for upsert operation","DmlException","Ensure all required fields exist"
"System.DmlException: Merge failed. First exception on row 0; first error: CANNOT_MERGE_RECORD","Ensure records can be merged and meet criteria","DmlException / MergeError","Check ownership and relationship constraints"
"System.SObjectException: Cannot read field from null sObject","Check null before accessing sObject fields","SObjectException","Add defensive null checks"
"System.LimitException: Too many query rows: 50000","Reduce query size or process in batches","LimitException","Use batch processing for large datasets"
"System.DmlException: Upsert failed due to unique constraint","Ensure no duplicates for unique fields","DmlException / DuplicateError","Check external IDs and unique fields"
"System.QueryException: Aggregate query returned more than 2000 rows","Use LIMIT clause or filter to reduce aggregate query results","QueryException / AggregateError","Salesforce aggregation limit"
"System.DmlException: Cannot execute DML on setup object from non-setup context","Use @future or separate transaction for setup object","DmlException / MixedDML","Avoid mixing setup & non-setup objects"
"System.CalloutException: HTTP request failed","Verify endpoint, authentication, and limits","CalloutException","Check remote site settings and callout authorization"
"System.AsyncException: Queueable job limit exceeded","Reduce number of queued jobs per transaction","AsyncException","Check for chaining and batch limits"
"System.DmlException: Insert failed. First exception on row 0; first error: INVALID_TYPE_ON_FIELD_IN_RECORD","Use correct field type for insert/update","DmlException / TypeError","Match field type in schema"
"System.StringException: String exceeded maximum length","Trim strings or validate input length","StringException","Ensure input fits field constraints"
"System.PermissionException: Insufficient Privileges","Grant object, field, or Apex class access","PermissionError","Check profiles, permission sets, and sharing rules"
"System.DmlException: Cannot update read-only field","Do not attempt to update read-only fields","DmlException","Some fields are auto-calculated or formula fields"
"System.QueryException: Unsupported operator in WHERE clause","Check SOQL WHERE operators are valid","QueryException / SyntaxError","Avoid unsupported operators"
"System.LimitException: Too many chained jobs in a single transaction","Reduce chained Queueable jobs","LimitException","Salesforce limit on async job chaining"
"System.DmlException: Insert failed. First exception on row 0; first error: CANNOT_INSERT_ACTIVATE_ENTITY","Deactivate conflicting workflow/process before insert","DmlException / WorkflowError","Check active workflows and processes"
"System.LimitException: Too many future calls in a single execution context","Combine future calls or use Queueable/Batch","LimitException","Respect limit of 50 future calls per transaction"
"System.DmlException: Insert failed. First exception on row 0; first error: REQUIRED_FIELD_MISSING, Required fields are missing: [Name]","Populate all required fields (e.g. Name for Accounts or Contacts) before insert/update","DmlException","Ensure mandatory fields compliance; provide Name for Account before insert"
